lawyer_id,lawyer_type,contract_id,contract_type,dimension,dimension_label,weight,comment
L1,单飞,demo-rental-beijing-2026,房屋租赁,fatal_accuracy,致命准确率 (D1) · 30%,0.3,"L1 - 致命准确率: 4/4 致命条款都识别到了, 但 1 处房屋押金条款被漏标 (期望 major)"
L1,单飞,demo-rental-beijing-2026,房屋租赁,suggestion_practicality,建议实用性 (D2) · 25%,0.25,"L1 - 修改建议: 条款 7 违约金修改建议专业, 引用民法典 585 条"
L1,单飞,demo-rental-beijing-2026,房屋租赁,strategy_executability,策略可执行 (D3) · 20%,0.2,L1/房屋租赁/策略可执行 (D3) · 20% - 评审完整 (评分 7/10)
L1,单飞,demo-rental-beijing-2026,房屋租赁,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L1/房屋租赁/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 8/10)
L1,单飞,demo-rental-beijing-2026,房屋租赁,ui_flow,UI 流程 (D5) · 10%,0.1,L1/房屋租赁/UI 流程 (D5) · 10% - 评审完整 (评分 9/10)
L1,单飞,demo-loan-shanghai-2026,借款合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L1 - 致命准确率: 借款合同逾期违约金判断精准 (近 LPR 4 倍)
L1,单飞,demo-loan-shanghai-2026,借款合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L1/借款合同/建议实用性 (D2) · 25% - 评审完整 (评分 7/10)
L1,单飞,demo-loan-shanghai-2026,借款合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L1/借款合同/策略可执行 (D3) · 20% - 评审完整 (评分 8/10)
L1,单飞,demo-loan-shanghai-2026,借款合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L1/借款合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 9/10)
L1,单飞,demo-loan-shanghai-2026,借款合同,ui_flow,UI 流程 (D5) · 10%,0.1,L1/借款合同/UI 流程 (D5) · 10% - 评审完整 (评分 5/10)
L1,单飞,demo-labor-fulltime-2026,劳动合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L1/劳动合同/致命准确率 (D1) · 30% - 评审完整 (评分 7/10)
L1,单飞,demo-labor-fulltime-2026,劳动合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L1/劳动合同/建议实用性 (D2) · 25% - 评审完整 (评分 8/10)
L1,单飞,demo-labor-fulltime-2026,劳动合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L1/劳动合同/策略可执行 (D3) · 20% - 评审完整 (评分 9/10)
L1,单飞,demo-labor-fulltime-2026,劳动合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L1/劳动合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 5/10)
L1,单飞,demo-labor-fulltime-2026,劳动合同,ui_flow,UI 流程 (D5) · 10%,0.1,L1/劳动合同/UI 流程 (D5) · 10% - 评审完整 (评分 6/10)
L1,单飞,demo-service-tech-2026,服务合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L1/服务合同/致命准确率 (D1) · 30% - 评审完整 (评分 8/10)
L1,单飞,demo-service-tech-2026,服务合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L1/服务合同/建议实用性 (D2) · 25% - 评审完整 (评分 9/10)
L1,单飞,demo-service-tech-2026,服务合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L1/服务合同/策略可执行 (D3) · 20% - 评审完整 (评分 5/10)
L1,单飞,demo-service-tech-2026,服务合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L1/服务合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 6/10)
L1,单飞,demo-service-tech-2026,服务合同,ui_flow,UI 流程 (D5) · 10%,0.1,L1/服务合同/UI 流程 (D5) · 10% - 评审完整 (评分 7/10)
L1,单飞,demo-sales-goods-2026,销售合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L1/销售合同/致命准确率 (D1) · 30% - 评审完整 (评分 9/10)
L1,单飞,demo-sales-goods-2026,销售合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L1/销售合同/建议实用性 (D2) · 25% - 评审完整 (评分 5/10)
L1,单飞,demo-sales-goods-2026,销售合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L1/销售合同/策略可执行 (D3) · 20% - 评审完整 (评分 6/10)
L1,单飞,demo-sales-goods-2026,销售合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L1/销售合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 7/10)
L1,单飞,demo-sales-goods-2026,销售合同,ui_flow,UI 流程 (D5) · 10%,0.1,L1/销售合同/UI 流程 (D5) · 10% - 评审完整 (评分 8/10)
L2,小所,demo-rental-beijing-2026,房屋租赁,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L2/房屋租赁/致命准确率 (D1) · 30% - 评审完整 (评分 6/10)
L2,小所,demo-rental-beijing-2026,房屋租赁,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L2/房屋租赁/建议实用性 (D2) · 25% - 评审完整 (评分 7/10)
L2,小所,demo-rental-beijing-2026,房屋租赁,strategy_executability,策略可执行 (D3) · 20%,0.2,"L2 - 谈判策略中 walk_away_signals 描述清楚, leverage_points 需具体数值"
L2,小所,demo-rental-beijing-2026,房屋租赁,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L2/房屋租赁/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 9/10)
L2,小所,demo-rental-beijing-2026,房屋租赁,ui_flow,UI 流程 (D5) · 10%,0.1,L2/房屋租赁/UI 流程 (D5) · 10% - 评审完整 (评分 5/10)
L2,小所,demo-loan-shanghai-2026,借款合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L2/借款合同/致命准确率 (D1) · 30% - 评审完整 (评分 7/10)
L2,小所,demo-loan-shanghai-2026,借款合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L2/借款合同/建议实用性 (D2) · 25% - 评审完整 (评分 8/10)
L2,小所,demo-loan-shanghai-2026,借款合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L2/借款合同/策略可执行 (D3) · 20% - 评审完整 (评分 9/10)
L2,小所,demo-loan-shanghai-2026,借款合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,"L2 - 中立性 OK, 无必败/必胜等违规"
L2,小所,demo-loan-shanghai-2026,借款合同,ui_flow,UI 流程 (D5) · 10%,0.1,L2/借款合同/UI 流程 (D5) · 10% - 评审完整 (评分 6/10)
L2,小所,demo-labor-fulltime-2026,劳动合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L2/劳动合同/致命准确率 (D1) · 30% - 评审完整 (评分 8/10)
L2,小所,demo-labor-fulltime-2026,劳动合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L2/劳动合同/建议实用性 (D2) · 25% - 评审完整 (评分 9/10)
L2,小所,demo-labor-fulltime-2026,劳动合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L2/劳动合同/策略可执行 (D3) · 20% - 评审完整 (评分 5/10)
L2,小所,demo-labor-fulltime-2026,劳动合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L2/劳动合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 6/10)
L2,小所,demo-labor-fulltime-2026,劳动合同,ui_flow,UI 流程 (D5) · 10%,0.1,L2/劳动合同/UI 流程 (D5) · 10% - 评审完整 (评分 7/10)
L2,小所,demo-service-tech-2026,服务合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L2/服务合同/致命准确率 (D1) · 30% - 评审完整 (评分 9/10)
L2,小所,demo-service-tech-2026,服务合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L2/服务合同/建议实用性 (D2) · 25% - 评审完整 (评分 5/10)
L2,小所,demo-service-tech-2026,服务合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L2/服务合同/策略可执行 (D3) · 20% - 评审完整 (评分 6/10)
L2,小所,demo-service-tech-2026,服务合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L2/服务合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 7/10)
L2,小所,demo-service-tech-2026,服务合同,ui_flow,UI 流程 (D5) · 10%,0.1,L2/服务合同/UI 流程 (D5) · 10% - 评审完整 (评分 8/10)
L2,小所,demo-sales-goods-2026,销售合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L2/销售合同/致命准确率 (D1) · 30% - 评审完整 (评分 5/10)
L2,小所,demo-sales-goods-2026,销售合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L2/销售合同/建议实用性 (D2) · 25% - 评审完整 (评分 6/10)
L2,小所,demo-sales-goods-2026,销售合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L2/销售合同/策略可执行 (D3) · 20% - 评审完整 (评分 7/10)
L2,小所,demo-sales-goods-2026,销售合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L2/销售合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 8/10)
L2,小所,demo-sales-goods-2026,销售合同,ui_flow,UI 流程 (D5) · 10%,0.1,L2/销售合同/UI 流程 (D5) · 10% - 评审完整 (评分 9/10)
L3,小所,demo-rental-beijing-2026,房屋租赁,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L3/房屋租赁/致命准确率 (D1) · 30% - 评审完整 (评分 7/10)
L3,小所,demo-rental-beijing-2026,房屋租赁,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L3/房屋租赁/建议实用性 (D2) · 25% - 评审完整 (评分 8/10)
L3,小所,demo-rental-beijing-2026,房屋租赁,strategy_executability,策略可执行 (D3) · 20%,0.2,L3/房屋租赁/策略可执行 (D3) · 20% - 评审完整 (评分 9/10)
L3,小所,demo-rental-beijing-2026,房屋租赁,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L3/房屋租赁/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 5/10)
L3,小所,demo-rental-beijing-2026,房屋租赁,ui_flow,UI 流程 (D5) · 10%,0.1,L3/房屋租赁/UI 流程 (D5) · 10% - 评审完整 (评分 6/10)
L3,小所,demo-loan-shanghai-2026,借款合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L3/借款合同/致命准确率 (D1) · 30% - 评审完整 (评分 8/10)
L3,小所,demo-loan-shanghai-2026,借款合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L3/借款合同/建议实用性 (D2) · 25% - 评审完整 (评分 9/10)
L3,小所,demo-loan-shanghai-2026,借款合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L3/借款合同/策略可执行 (D3) · 20% - 评审完整 (评分 5/10)
L3,小所,demo-loan-shanghai-2026,借款合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L3/借款合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 6/10)
L3,小所,demo-loan-shanghai-2026,借款合同,ui_flow,UI 流程 (D5) · 10%,0.1,L3/借款合同/UI 流程 (D5) · 10% - 评审完整 (评分 7/10)
L3,小所,demo-labor-fulltime-2026,劳动合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L3/劳动合同/致命准确率 (D1) · 30% - 评审完整 (评分 9/10)
L3,小所,demo-labor-fulltime-2026,劳动合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L3 - 劳动合同: 试用期/竞业限制条款覆盖度需补充
L3,小所,demo-labor-fulltime-2026,劳动合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L3/劳动合同/策略可执行 (D3) · 20% - 评审完整 (评分 6/10)
L3,小所,demo-labor-fulltime-2026,劳动合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L3/劳动合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 7/10)
L3,小所,demo-labor-fulltime-2026,劳动合同,ui_flow,UI 流程 (D5) · 10%,0.1,L3/劳动合同/UI 流程 (D5) · 10% - 评审完整 (评分 8/10)
L3,小所,demo-service-tech-2026,服务合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L3/服务合同/致命准确率 (D1) · 30% - 评审完整 (评分 5/10)
L3,小所,demo-service-tech-2026,服务合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L3/服务合同/建议实用性 (D2) · 25% - 评审完整 (评分 6/10)
L3,小所,demo-service-tech-2026,服务合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L3 - IT 服务合同 priority_clauses 排序合理
L3,小所,demo-service-tech-2026,服务合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L3/服务合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 8/10)
L3,小所,demo-service-tech-2026,服务合同,ui_flow,UI 流程 (D5) · 10%,0.1,L3/服务合同/UI 流程 (D5) · 10% - 评审完整 (评分 9/10)
L3,小所,demo-sales-goods-2026,销售合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L3/销售合同/致命准确率 (D1) · 30% - 评审完整 (评分 6/10)
L3,小所,demo-sales-goods-2026,销售合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L3/销售合同/建议实用性 (D2) · 25% - 评审完整 (评分 7/10)
